BTC,Date,Closing Price (USD)
BTC,4/29/2020,7761.758784
BTC,4/30/2020,8773.106488
BTC,5/1/2020,8767.672623
BTC,5/2/2020,8853.774484
BTC,5/3/2020,8963.057558
BTC,5/4/2020,8904.713817
BTC,5/5/2020,8887.505893
BTC,5/6/2020,8978.283587
BTC,5/7/2020,9371.684273
BTC,5/8/2020,9900.678867
BTC,5/9/2020,9917.248414
BTC,5/10/2020,9617.518195
BTC,5/11/2020,8786.655182
BTC,5/12/2020,8608.125245
BTC,5/13/2020,8815.231245
BTC,5/14/2020,9330.986485
BTC,5/15/2020,9757.296586
BTC,5/16/2020,9362.635557
BTC,5/17/2020,9418.918551
BTC,5/18/2020,9684.701959
BTC,5/19/2020,9723.68015
BTC,5/20/2020,9719.480854
BTC,5/21/2020,9540.886567
BTC,5/22/2020,9141.150637
BTC,5/23/2020,9192.845136
BTC,5/24/2020,9220.075887
BTC,5/25/2020,9048.715119
BTC,5/26/2020,8905.781605
BTC,5/27/2020,8835.727224
BTC,5/28/2020,9112.979176
BTC,5/29/2020,9507.524665
BTC,5/30/2020,9425.281869
BTC,5/31/2020,9688.32439
BTC,6/1/2020,9427.670084
BTC,6/2/2020,10268.58198
BTC,6/3/2020,9516.135443
BTC,6/4/2020,9667.060754
BTC,6/5/2020,9811.367095
BTC,6/6/2020,9659.661298
BTC,6/7/2020,9677.050995
BTC,6/8/2020,9737.458559
BTC,6/9/2020,9791.9279
BTC,6/10/2020,9786.14202
BTC,6/11/2020,9874.967048
BTC,6/12/2020,9260.832641
BTC,6/13/2020,9464.228097
BTC,6/14/2020,9458.659754
BTC,6/15/2020,9351.953728
BTC,6/16/2020,9441.768996
BTC,6/17/2020,9510.660637
BTC,6/18/2020,9457.627074
BTC,6/19/2020,9398.642094
BTC,6/20/2020,9279.760765
BTC,6/21/2020,9353.078196
BTC,6/22/2020,9289.104491
BTC,6/23/2020,9680.947128
BTC,6/24/2020,9609.680246
BTC,6/25/2020,9311.136318
BTC,6/26/2020,9252.633372
BTC,6/27/2020,9171.732086
BTC,6/28/2020,9022.153768
BTC,6/29/2020,9101.850057
BTC,6/30/2020,9188.061375
BTC,7/1/2020,9148.444859
BTC,7/2/2020,9236.31677
BTC,7/3/2020,9097.797366
BTC,7/4/2020,9094.324561
BTC,7/5/2020,9124.653534
BTC,7/6/2020,9055.464483
BTC,7/7/2020,9278.805637
BTC,7/8/2020,9244.415815
BTC,7/9/2020,9471.759973
BTC,7/10/2020,9236.143254
BTC,7/11/2020,9243.175259
BTC,7/12/2020,9229.859755
BTC,7/13/2020,9286.737042
BTC,7/14/2020,9238.993755
BTC,7/15/2020,9260.47098
BTC,7/16/2020,9211.026433
BTC,7/17/2020,9133.77783
BTC,7/18/2020,9160.410591
BTC,7/19/2020,9176.68639
BTC,7/20/2020,9190.271534
BTC,7/21/2020,9172.588333
BTC,7/22/2020,9395.064446
BTC,7/23/2020,9530.790885
BTC,7/24/2020,9617.377861
BTC,7/25/2020,9568.974726
BTC,7/26/2020,9708.94914
BTC,7/27/2020,9938.951223
BTC,7/28/2020,11187.77973
BTC,7/29/2020,10939.67014
BTC,7/30/2020,11284.45899
BTC,7/31/2020,11118.91841
BTC,8/1/2020,11373.31726
BTC,8/2/2020,11766.7483
BTC,8/3/2020,11139.09838
BTC,8/4/2020,11261.80633
BTC,8/5/2020,11228.02632
BTC,8/6/2020,11653.40759
BTC,8/7/2020,11796.81736
BTC,8/8/2020,11639.93541
BTC,8/9/2020,11744.91208
BTC,8/10/2020,11673.12324
BTC,8/11/2020,11832.22731
BTC,8/12/2020,11340.58234
BTC,8/13/2020,11549.54631
BTC,8/14/2020,11752.16866
BTC,8/15/2020,11783.28341
BTC,8/16/2020,11895.62695
BTC,8/17/2020,11896.94717
BTC,8/18/2020,12399.11188
BTC,8/19/2020,12071.73891
BTC,8/20/2020,11749.82951
BTC,8/21/2020,11833.89735
BTC,8/22/2020,11583.13894
BTC,8/23/2020,11674.62435
BTC,8/24/2020,11666.41012
BTC,8/25/2020,11744.0127
BTC,8/26/2020,11378.72603
BTC,8/27/2020,11458.8226
BTC,8/28/2020,11302.12096
BTC,8/29/2020,11482.22569
BTC,8/30/2020,11515.04443
BTC,8/31/2020,11657.00393
BTC,9/1/2020,11678.37326
BTC,9/2/2020,11964.20867
BTC,9/3/2020,11427.7026
BTC,9/4/2020,10712.92065
BTC,9/5/2020,10563.89694
BTC,9/6/2020,10042.85485
BTC,9/7/2020,10207.605
BTC,9/8/2020,10381.77611
BTC,9/9/2020,10043.19644
BTC,9/10/2020,10268.46092
BTC,9/11/2020,10341.01598
BTC,9/12/2020,10380.5396
BTC,9/13/2020,10436.36541
BTC,9/14/2020,10313.06858
BTC,9/15/2020,10680.29756
BTC,9/16/2020,10829.50531
BTC,9/17/2020,11033.38353
BTC,9/18/2020,10937.11126
BTC,9/19/2020,10933.93116
BTC,9/20/2020,11048.87928
BTC,9/21/2020,10852.91014
BTC,9/22/2020,10526.20289
BTC,9/23/2020,10531.16456
BTC,9/24/2020,10260.03301
BTC,9/25/2020,10672.95681
BTC,9/26/2020,10729.06961
BTC,9/27/2020,10741.47647
BTC,9/28/2020,10752.34545
BTC,9/29/2020,10863.06572
BTC,9/30/2020,10764.28437
BTC,10/1/2020,10741.57955
BTC,10/2/2020,10626.60096
BTC,10/3/2020,10567.3302
BTC,10/4/2020,10555.02868
BTC,10/5/2020,10660.61118
BTC,10/6/2020,10756.40458
BTC,10/7/2020,10589.62639
BTC,10/8/2020,10645.75479
BTC,10/9/2020,10897.59543
BTC,10/10/2020,11052.39508
BTC,10/11/2020,11360.85272
BTC,10/12/2020,11334.02674
BTC,10/13/2020,11666.2117
BTC,10/14/2020,11443.73279
BTC,10/15/2020,11395.54737
BTC,10/16/2020,11504.54901
BTC,10/17/2020,11355.16044
BTC,10/18/2020,11358.70638
BTC,10/19/2020,11471.00255
BTC,10/20/2020,11776.593
BTC,10/21/2020,11936.36291
BTC,10/22/2020,13102.93446
BTC,10/23/2020,13140.66928
BTC,10/24/2020,12933.82357
BTC,10/25/2020,13008.45326
BTC,10/26/2020,13033.52427
BTC,10/27/2020,13721.28222
BTC,10/28/2020,13282.26035
BTC,10/29/2020,13467.73178
BTC,10/30/2020,13573.7105
BTC,10/31/2020,13891.21683
BTC,11/1/2020,13730.19731
BTC,11/2/2020,13633.69822
BTC,11/3/2020,13832.93841
BTC,11/4/2020,14163.97682
BTC,11/5/2020,15424.52768
BTC,11/6/2020,15540.59659
BTC,11/7/2020,14783.98168
BTC,11/8/2020,15500.33425
BTC,11/9/2020,15283.78014
BTC,11/10/2020,15374.04439
BTC,11/11/2020,15820.49524
BTC,11/12/2020,16253.31027
BTC,11/13/2020,16347.04492
BTC,11/14/2020,15991.83302
BTC,11/15/2020,15918.08013
BTC,11/16/2020,16752.00299
BTC,11/17/2020,17593.48641
BTC,11/18/2020,17834.63653
BTC,11/19/2020,17954.85801
BTC,11/20/2020,18612.87067
BTC,11/21/2020,18591.8566
BTC,11/22/2020,18629.99554
BTC,11/23/2020,18469.20047
BTC,11/24/2020,19045.73647
BTC,11/25/2020,18746.93481
BTC,11/26/2020,17187.40628
BTC,11/27/2020,17023.9614
BTC,11/28/2020,17814.78028
BTC,11/29/2020,18114.41435
BTC,11/30/2020,19382.36059
BTC,12/1/2020,18980.97745
BTC,12/2/2020,19184.89785
BTC,12/3/2020,19464.5317
BTC,12/4/2020,18813.12476
BTC,12/5/2020,19045.02027
BTC,12/6/2020,19113.9334
BTC,12/7/2020,19107.5998
BTC,12/8/2020,18682.45783
BTC,12/9/2020,18543.00705
BTC,12/10/2020,18359.4766
BTC,12/11/2020,18137.31937
BTC,12/12/2020,18882.26017
BTC,12/13/2020,19060.2769
BTC,12/14/2020,19251.224
BTC,12/15/2020,19443.47635
BTC,12/16/2020,21310.65626
BTC,12/17/2020,22895.97624
BTC,12/18/2020,23008.77626
BTC,12/19/2020,23890.82265
BTC,12/20/2020,23537.36989
BTC,12/21/2020,23177.271
BTC,12/22/2020,23433.98076
BTC,12/23/2020,23224.45414
BTC,12/24/2020,23623.88553
BTC,12/25/2020,24581.00617
BTC,12/26/2020,26381.29623
BTC,12/27/2020,26389.29026
BTC,12/28/2020,26718.02946
BTC,12/29/2020,26975.72956
BTC,12/30/2020,28768.83621
BTC,12/31/2020,29111.52157
BTC,1/1/2021,29333.60512
BTC,1/2/2021,32154.16736
BTC,1/3/2021,33002.53643
BTC,1/4/2021,31431.61228
BTC,1/5/2021,34433.60651
BTC,1/6/2021,36275.75635
BTC,1/7/2021,39713.50786
BTC,1/8/2021,40519.4486
BTC,1/9/2021,40258.92399
BTC,1/10/2021,38709.76537
BTC,1/11/2021,34409.64238
BTC,1/12/2021,34214.61026
BTC,1/13/2021,37017.0075
BTC,1/14/2021,38435.86351
BTC,1/15/2021,36751.58497
BTC,1/16/2021,36016.77961
BTC,1/17/2021,36375.81138
BTC,1/18/2021,36346.6095
BTC,1/19/2021,36577.51965
BTC,1/20/2021,35004.53263
BTC,1/21/2021,30606.18268
BTC,1/22/2021,33368.36593
BTC,1/23/2021,32070.09743
BTC,1/24/2021,32285.72613
BTC,1/25/2021,32500.25596
BTC,1/26/2021,32324.55565
BTC,1/27/2021,30534.99937
BTC,1/28/2021,33408.21834
BTC,1/29/2021,34842.55739
BTC,1/30/2021,34622.37323
BTC,1/31/2021,33087.36986
BTC,2/1/2021,33613.32076
BTC,2/2/2021,35632.90195
BTC,2/3/2021,37397.42636
BTC,2/4/2021,37256.25211
BTC,2/5/2021,37851.59659
BTC,2/6/2021,40302.79979
BTC,2/7/2021,38461.6814
BTC,2/8/2021,44716.68547
BTC,2/9/2021,46674.85169
BTC,2/10/2021,45237.47569
BTC,2/11/2021,47500.89752
BTC,2/12/2021,47884.18286
BTC,2/13/2021,47005.19065
BTC,2/14/2021,49151.16758
BTC,2/15/2021,48125.9922
BTC,2/16/2021,48840.41447
BTC,2/17/2021,52165.30256
BTC,2/18/2021,51728.5088
BTC,2/19/2021,55719.20436
BTC,2/20/2021,54801.64864
BTC,2/21/2021,57128.64261
BTC,2/22/2021,54181.91465
BTC,2/23/2021,48172.87748
BTC,2/24/2021,48745.43298
BTC,2/25/2021,48291.41208
BTC,2/26/2021,45752.11492
BTC,2/27/2021,46642.60608
BTC,2/28/2021,45092.80657
BTC,3/1/2021,49248.91401
BTC,3/2/2021,47900.77688
BTC,3/3/2021,50811.85517
BTC,3/4/2021,48259.48708
BTC,3/5/2021,49149.73083
BTC,3/6/2021,48879.1519
BTC,3/7/2021,50594.69857
BTC,3/8/2021,51503.25813
BTC,3/9/2021,54458.03781
BTC,3/10/2021,56915.17394
BTC,3/11/2021,57636.75796
BTC,3/12/2021,57306.16626
BTC,3/13/2021,60743.04182
BTC,3/14/2021,60197.90199
BTC,3/15/2021,56300.33411
BTC,3/16/2021,56639.78395
BTC,3/17/2021,58567.28378
BTC,3/18/2021,57983.09474
BTC,3/19/2021,58451.73147
BTC,3/20/2021,58593.60245
BTC,3/21/2021,57796.46737
